,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,time_signature
13,0.792,1922,0.626,['Jim Chapman'],0.491,111256,0.439,0,0.0,4,0.321,-11.356,0,Chicago (That Toddlin' Town),0,0.105,180.653,4
14,0.409,1922,0.995,['Ignacio Corsini'],0.236,169853,0.124,0,0.981,1,0.149,-22.971,1,Mi Guitarra - Remasterizado,0,0.0515,71.524,3
15,0.648,1922,0.995,['Ignacio Corsini'],0.545,180253,0.268,0,0.92,1,0.112,-23.029,1,Toda Alma - Remasterizado,0,0.191,126.614,4
16,0.701,1922,0.991,['Adolphe Bérard'],0.467,156960,0.328,0,1.57e-05,7,0.0705,-13.227,1,L'amour Au Clair De Lune,0,0.0354,87.132,4
17,0.636,1922,0.996,['Ignacio Corsini'],0.484,155093,0.0558,0,0.278,8,0.202,-25.33,0,No Me Olvides - Remasterizado,0,0.0575,99.555,4
18,0.344,1922,0.994,['Ignacio Corsini'],0.36,153133,0.0954,0,0.726,0,0.107,-24.17,0,Flor Marchita - Remasterizado,0,0.064,76.3,3
19,0.407,1922,0.996,['Ignacio Corsini'],0.564,159800,0.053,0,0.927,6,0.117,-25.041,0,Pobre Cotorro - Remasterizado,0,0.127,140.216,4
20,0.83,1922,0.993,['Ignacio Corsini'],0.388,160267,0.202,0,0.917,8,0.111,-26.173,1,Primera Ilusión - Remasterizado,0,0.0517,181.105,3
21,0.969,1922,0.987,['Félix Mayol'],0.716,151573,0.301,0,0.0,5,0.277,-14.07,1,Elle Vendait Des P'tits Gateaux,0,0.105,129.153,4
22,0.708,1922,0.996,['Ignacio Corsini'],0.541,161080,0.161,0,0.907,3,0.129,-21.25,1,Cap Polonio - Remasterizado,0,0.094,143.105,4
23,0.562,1922,0.994,['Ignacio Corsini'],0.442,174453,0.177,0,0.000896,9,0.491,-19.632,1,De Mil Amores - Remasterizado,0,0.0571,128.395,4
24,0.105,1922,0.199,['Uli'],0.657,40000,0.325,0,0.856,10,0.0931,-14.319,0,L'enfer,0,0.254,81.944,5
25,0.42,1922,0.996,['Ignacio Corsini'],0.53,164653,0.0468,0,0.937,3,0.0982,-24.856,0,Remembranza - Remasterizado,0,0.0853,129.602,4
26,0.138,1922,0.144,['Uli'],0.644,104400,0.684,0,0.802,7,0.0847,-8.247,1,Graphite,0,0.199,100.031,4
27,0.564,1922,0.995,['Ignacio Corsini'],0.43,151027,0.155,0,0.952,1,0.202,-26.685,0,Ensueño de Oro - Remasterizado,0,0.116,96.58,4
28,0.515,1922,0.996,['Ignacio Corsini'],0.366,159800,0.0749,0,0.924,7,0.117,-26.34,1,El Huerfano - Remasterizado,0,0.0806,90.969,3
29,0.481,1922,0.995,['Mistinguett'],0.511,208267,0.206,0,0.0,0,0.418,-15.514,1,J'en Ai Marre,0,0.0592,70.443,4
30,0.528,1922,0.98,['Ignacio Corsini'],0.422,179813,0.561,0,3.41e-06,5,0.966,-18.573,0,Monigote - Remasterizado,0,0.461,121.542,4
31,0.312,1922,0.985,['Ignacio Corsini'],0.313,186200,0.102,0,0.97,10,0.102,-30.026,0,Recuerdo Criollo - Remasterizado,0,0.0436,67.575,3
32,0.509,1922,0.98,['Ignacio Corsini'],0.425,178373,0.308,0,0.0,1,0.631,-21.085,0,Despedida - Remasterizado,0,0.0534,64.738,4
33,0.706,1922,0.995,['Ignacio Corsini'],0.564,158573,0.178,0,0.921,9,0.112,-26.435,1,Pobre China - Remasterizado,0,0.0432,60.422,4
34,0.634,1922,0.995,['Georgius'],0.528,187733,0.343,0,0.0,0,0.385,-14.963,0,Sur La Pointe Des Pieds,0,0.315,83.2,4
35,0.902,1923,0.994,"[""King Oliver's Creole Jazz Band""]",0.708,194533,0.361,0,0.883,0,0.103,-11.764,0,Snake Rag,20,0.0441,105.695,4
36,0.319,1923,0.995,"[""Clarence Williams' Blue Five""]",0.52,197493,0.153,0,0.131,0,0.353,-14.042,1,Pickin' On Your Baby,11,0.044,102.937,4
37,0.494,1923,0.991,['Bessie Smith'],0.557,206253,0.0792,0,0.0,0,0.186,-13.094,1,Long Old Road,11,0.0541,79.768,4
38,0.489,1923,0.994,['Bessie Smith'],0.8,200093,0.0466,0,0.000165,5,0.111,-12.145,1,"Empty Bed Blues, Pt. 2",10,0.0578,84.544,4
39,0.718,1923,0.923,['Louis Armstrong & His Savoy Ballroom Five'],0.496,201267,0.311,0,0.0127,5,0.252,-11.202,1,No One Else But You,6,0.124,191.035,4
40,0.657,1923,0.968,['Louis Armstrong & His Sebastian New Cotton Club Orchestra'],0.606,197000,0.261,0,0.124,10,0.12,-13.995,1,Sweethearts On Parade,6,0.0679,128.025,4
41,0.514,1923,0.971,['Louis Armstrong & His Hot Five'],0.561,197067,0.353,0,0.13,10,0.922,-9.617,1,Basin Street Blues - rec. 1928,6,0.0538,107.711,4
42,0.879,1923,0.983,['Fletcher Henderson & His Orchestra'],0.78,169267,0.207,0,0.0291,10,0.101,-14.127,1,Sugar Foot Stomp,7,0.0771,100.376,4
43,0.75,1923,0.928,['Louis Armstrong'],0.579,183800,0.204,0,0.00459,0,0.0901,-12.634,1,I Can't Believe That You're In Love With Me,6,0.0804,154.333,4
44,0.37,1923,0.989,['Louis Armstrong'],0.527,200200,0.178,0,9.85e-06,3,0.104,-14.814,1,When It's Sleepy Time Down South,4,0.0793,105.093,4
45,0.741,1923,0.937,['Louis Armstrong'],0.625,176400,0.203,0,0.0208,5,0.0868,-12.257,1,Between The Devil And The Deep Blue Sea,5,0.077,133.909,4
46,0.593,1923,0.977,['Louis Armstrong & His Hot Five'],0.653,184133,0.131,0,0.733,8,0.6,-19.164,1,Skip The Gutter,5,0.0628,124.1,4
47,0.647,1923,0.994,['Margaret Johnson'],0.583,161560,0.214,0,3.3e-05,10,0.446,-13.687,1,Changeable Daddy Of Mine,6,0.0423,101.916,4
48,0.794,1923,0.945,['Louis Armstrong'],0.562,193667,0.525,0,0.0949,3,0.129,-8.992,1,"Chinatown, My Chinatown",5,0.142,158.373,4
49,0.816,1923,0.927,['Louis Armstrong'],0.741,195960,0.284,0,0.0788,3,0.0633,-10.406,1,My Sweet,4,0.0505,105.84,4
50,0.637,1923,0.995,['Nolan Welsh'],0.657,211800,0.136,0,7.64e-05,11,0.118,-14.723,1,The Bridwell Blues,4,0.339,72.492,4
51,0.43,1923,0.996,['The Southern Serenaders'],0.66,191173,0.184,0,0.941,10,0.305,-13.993,1,Alone At Last,5,0.0322,107.328,4
52,0.82,1923,0.933,['Louis Armstrong & His Hot Seven'],0.679,194293,0.144,0,0.168,3,0.0915,-14.081,1,Gully Low Blues,6,0.0975,108.832,4
53,0.534,1923,0.995,['Maggie Jones'],0.551,192200,0.196,0,0.00325,0,0.384,-14.692,1,Good Time Flat Blues,6,0.0594,76.598,4
54,0.564,1923,0.988,"['Hociel Thomas', 'Louis Armstrong']",0.536,198467,0.128,0,0.0,2,0.314,-13.093,1,Listen To Ma,5,0.0435,91.937,4
55,0.594,1923,0.986,['Louis Armstrong & His Hot Five'],0.604,207000,0.279,0,0.237,10,0.275,-11.588,1,Basin Street Blues - rec. 1928,4,0.0446,123.271,4
56,0.807,1923,0.995,['Francisco Canaro'],0.501,172187,0.39,0,0.963,2,0.173,-14.475,1,Sol Mio - Remasterizado,0,0.05,83.162,4
57,0.597,1923,0.992,['Ignacio Corsini'],0.47,152947,0.28,0,0.926,11,0.107,-19.32,1,La Payasa - Remasterizado,0,0.129,130.445,4
58,0.767,1923,0.992,['Gaby Montbreuse'],0.435,160907,0.353,0,0.0,2,0.303,-14.907,1,C'est Au Bal Musette,0,0.0992,77.699,3
59,0.759,1923,0.98,['Georgius'],0.635,204400,0.285,0,0.0,1,0.446,-16.475,1,Ma Gosse,0,0.217,123.849,4
60,0.823,1923,0.989,['Hafız Ahmet Celâl Tokses'],0.234,175541,0.401,0,0.993,4,0.393,-15.225,0,Pala Oyunu,0,0.04,77.395,4
61,0.621,1923,0.995,['Robert Jysor'],0.496,184427,0.32,0,0.0,0,0.272,-12.255,1,Tu Voudrais Me Voir Pleurer,0,0.0847,108.512,4
62,0.19,1923,0.995,['Hafız Ahmet Celâl Tokses'],0.26,167680,0.333,0,0.917,4,0.51,-17.084,1,Pek Muztaribim,0,0.0896,78.08,1
63,0.618,1923,0.992,['Francisco Canaro'],0.377,170800,0.335,0,0.961,1,0.173,-16.295,1,Cuando Buda Sonríe - Remasterizado,0,0.0426,79.422,4
64,0.733,1923,0.994,['Francisco Canaro'],0.563,174667,0.426,0,0.96,11,0.209,-13.831,0,Electric Girl - Remasterizado,0,0.148,80.204,4
65,0.66,1923,0.996,['Ignacio Corsini'],0.574,178147,0.0119,0,0.936,5,0.099,-28.427,0,Sacate la Caretita - Remasterizado,0,0.102,125.425,4
66,0.89,1923,0.994,['Francisco Canaro'],0.515,180387,0.272,0,0.97,4,0.15,-15.873,0,Veranito de San Juan - Remasterizado,0,0.108,130.063,4
67,0.614,1923,0.994,['Francisco Canaro'],0.6,151467,0.243,0,0.992,4,0.15,-15.922,0,Padre Nuestro - Remasterizado,0,0.055,125.772,4
68,0.934,1923,0.978,['Félix Mayol'],0.623,173427,0.292,0,0.0,4,0.341,-11.501,1,La Valse Du Faubourg,0,0.0558,61.28,3
69,0.253,1923,0.996,['Ignacio Corsini'],0.415,153147,0.0359,0,0.914,1,0.105,-29.191,0,Juventud - Remasterizado,0,0.0562,70.347,4
70,0.51,1923,0.995,['Ignacio Corsini'],0.502,171107,0.298,0,0.919,5,0.285,-15.321,0,Pobre Cotorro - Remasterizado,0,0.0805,135.238,4
71,0.56,1923,0.994,['Ignacio Corsini'],0.335,185853,0.305,0,0.89,11,0.407,-19.576,0,Mi Alazan Tostado - Remasterizado,0,0.0427,100.941,3
72,0.536,1923,0.995,['Mlle Davia'],0.519,171933,0.292,0,0.0502,0,0.474,-15.185,1,Elle N'est Pas Si Mal Que Ca,0,0.0852,83.334,4
73,0.942,1923,0.995,['Francisco Canaro'],0.47,171187,0.43,0,0.981,5,0.177,-13.013,1,I Ain't No Body's Darling - Remasterizado,0,0.0516,166.475,4
74,0.698,1923,0.995,['Ignacio Corsini'],0.435,153187,0.212,0,0.0165,6,0.252,-21.562,0,Muchachita Loca - Remasterizado,0,0.0479,122.928,4
75,0.727,1923,0.995,['Francisco Canaro'],0.618,176200,0.306,0,0.967,8,0.12,-13.928,0,Nubes de Humo - Remasterizado,0,0.0535,122.623,4
76,0.76,1923,0.995,['Francisco Canaro'],0.336,157867,0.415,0,0.984,0,0.264,-15.088,1,Eleonore - Remasterizado,0,0.17,167.96,4
77,0.885,1923,0.758,['Harry Curtis'],0.718,143073,0.506,0,9.75e-06,7,0.0615,-10.519,1,Dinah,0,0.0362,130.062,4
78,0.561,1923,0.906,['Harry Curtis'],0.743,150570,0.417,0,0.0,5,0.0982,-10.234,1,You Never Miss the Water till the Well Runs Dry,0,0.0313,119.96,3
79,0.236,1923,0.88,['Harry Curtis'],0.475,209058,0.294,0,0.0,10,0.109,-12.168,1,You Always Hurt the One You Love,0,0.0381,126.301,3
80,0.711,1923,0.996,['Francisco Canaro'],0.407,160787,0.407,0,0.982,0,0.296,-16.127,0,Negro Veio - Remasterizado,0,0.116,134.869,3
81,0.59,1923,0.994,['Ignacio Corsini'],0.537,130347,0.273,0,0.866,9,0.161,-21.049,1,Fin de Fiesta - Remasterizado,0,0.114,126.42,4
82,0.88,1923,0.995,['Ignacio Corsini'],0.52,138387,0.168,0,0.916,6,0.106,-25.089,0,El Ranchito - Remasterizado,0,0.0598,133.933,4
83,0.785,1923,0.818,['Harry Curtis'],0.825,161071,0.476,0,0.0,1,0.0901,-10.491,1,Sleepy Time Gal,0,0.0328,119.979,4
84,0.684,1923,0.992,['Ignacio Corsini'],0.375,165787,0.345,0,0.898,4,0.266,-20.106,0,La Vuelta de Mi Amor - Remasterizado,0,0.337,74.236,4
85,0.706,1923,0.976,['Georgius'],0.613,182440,0.457,0,0.0,7,0.192,-15.501,1,Il N'osait Pas Se Decider,0,0.51,76.682,4
86,0.584,1923,0.995,['Gaby Montbreuse'],0.599,185067,0.227,0,4.49e-05,10,0.129,-14.867,0,Le Roudoudou,0,0.0646,78.265,4
87,0.593,1923,0.995,['Francisco Canaro'],0.332,179987,0.291,0,0.858,1,0.404,-16.271,1,Nerón - Remasterizado,0,0.0555,186.573,4
88,0.779,1923,0.993,['Ignacio Corsini'],0.394,164867,0.327,0,0.764,1,0.14,-20.112,1,Pelele - Remasterizado,0,0.12,63.228,4
89,0.807,1923,0.992,['Maurice Chevalier'],0.564,145973,0.247,0,0.0,7,0.201,-16.23,1,Si Vous N'aimez Pas Ca,0,0.291,76.223,1
90,0.272,1923,0.905,['FanChants: Navijači Radnički 1923'],0.406,117944,0.947,0,0.00225,11,0.821,-4.784,1,Ekipa Je Na Nogama,0,0.282,129.659,4
91,0.316,1923,0.994,['Francisco Canaro'],0.433,176147,0.381,0,0.0,3,0.236,-8.127,0,Dejeme Que la Acompañe - Remasterizado,0,0.0433,129.194,4
92,0.706,1923,0.993,['Ignacio Corsini'],0.337,188067,0.311,0,0.977,2,0.745,-19.693,1,Cariño Eterno Irene - Remasterizado,0,0.0549,115.48,4
93,0.888,1923,0.994,['Francisco Canaro'],0.512,139733,0.291,0,0.944,4,0.247,-14.599,1,La Java - Remasterizado,0,0.0407,150.63,3
94,0.335,1923,0.000591,['Hykoski Studios'],0.779,136800,0.121,0,0.805,1,0.105,-23.027,1,Long Live Love Life,0,0.0547,100.003,4
95,0.36,1923,0.986,['Ignacio Corsini'],0.345,140013,0.237,0,0.93,6,0.168,-19.972,0,Juan de los Santos Arena - Remasterizado,0,0.0527,62.794,4
96,0.278,1923,0.996,['Francisco Canaro'],0.431,124613,0.241,0,0.877,4,0.153,-13.486,1,Los Ojazos de Mi Suegra - Remasterizado,0,0.0651,117.048,3
97,0.564,1923,0.994,['Francisco Canaro'],0.6,173067,0.329,0,0.964,7,0.148,-14.876,1,La Ratonera - Remasterizado,0,0.0683,125.571,4
98,0.473,1923,0.988,['Emma Liebel'],0.219,173960,0.301,0,7.16e-06,3,0.159,-14.602,1,Rien Qu'une Nuit,0,0.0457,77.506,3
99,0.727,1923,0.995,['Ignacio Corsini'],0.459,138173,0.129,0,0.973,2,0.436,-24.289,1,Sombras - Remasterizado,0,0.0847,85.152,3
100,0.743,1923,0.995,['Maurice Chevalier'],0.481,115160,0.221,0,1.78e-06,1,0.47,-17.99,0,Couplets De La Haut,0,0.163,88.538,4
101,0.152,1923,0.784,['4509 STARPASS Prodcutions'],0.628,256981,0.091,0,0.000944,0,0.102,-18.878,1,Great is Thy Faithfulness,0,0.0398,130.486,3
102,0.765,1923,0.993,['Fortugé'],0.687,187933,0.173,0,0.0,5,0.86,-14.726,1,C'est Jeune Et Ca N'sait Pas,0,0.0772,114.198,4
103,0.588,1923,0.992,['Francisco Canaro'],0.594,182907,0.231,0,0.932,6,0.148,-15.425,0,Sacate la Caretita - Remasterizado,0,0.0608,117.917,4
104,0.0661,1923,0.994,"['Qatar Concert Choir', 'Giovanni Pasini']",0.419,230910,0.114,0,0.96,5,0.0681,-18.409,0,"The Four Seasons: 'Winter' in F Minor, RV 297: Allegro non Molto - Choral Version",0,0.0476,127.638,4
105,0.871,1924,0.951,"['Hoagy Carmichael & His Orchestra', 'Bix Beiderbecke', 'Bud Freeman']",0.826,175720,0.447,0,0.24,5,0.0764,-10.71,1,Bessie Couldn't Help It,4,0.0547,95.616,4
106,0.924,1924,0.986,"['Bix Beiderbecke', 'Jean Goldkette and his Orchestra']",0.736,185667,0.286,0,0.0878,7,0.124,-9.82,1,I'm Proud of a Baby Like You,4,0.0457,104.57,4
107,0.909,1924,0.964,"['Jean Goldkette and his Orchestra', 'Bix Beiderbecke']",0.624,177933,0.404,0,0.0587,9,0.71,-9.894,1,Hoosier Sweetheart,3,0.0474,112.317,4
108,0.436,1924,0.887,"['Bix Beiderbecke And His Orchestra', 'Bix Beiderbecke']",0.508,186000,0.262,0,0.0343,7,0.115,-12.632,1,"I'll Be a Friend ""With Pleasure""",2,0.0405,137.012,4
109,0.564,1924,0.995,['Ignacio Corsini'],0.291,156293,0.153,0,0.0188,5,0.187,-22.092,1,Tristeza Criolla - Remasterizado,0,0.0586,177.144,4
110,0.352,1924,0.996,['Francisco Canaro'],0.589,170533,0.254,0,0.952,2,0.255,-16.081,1,Fantasio - Remasterizado,0,0.0576,116.602,4
111,0.397,1924,0.996,['Francisco Canaro'],0.601,199667,0.177,0,0.941,8,0.265,-17.316,0,La Cabeza del Italiano - Remasterizado,0,0.0701,72.738,4
112,0.276,1924,0.612,['Jailess'],0.755,150909,0.65,0,0.000153,0,0.101,-7.107,1,Pelco y Trama,0,0.42,90.951,4
113,0.619,1924,0.995,['Francisco Canaro'],0.682,170667,0.3,0,0.979,10,0.14,-13.108,0,Una Noche en París - Remasterizado,0,0.0607,121.616,4
114,0.547,1924,0.987,['Ignacio Corsini'],0.332,134840,0.278,0,0.963,8,0.177,-19.895,1,Olga - Remasterizado,0,0.0748,179.54,3
115,0.15,1924,0.98,['Ignacio Corsini'],0.408,144253,0.198,0,0.9,4,0.114,-23.185,1,Juan de los Santos Arena - Remasterizado,0,0.0552,120.807,4
116,0.765,1924,0.996,['Francisco Canaro'],0.508,176520,0.491,0,0.931,6,0.192,-16.988,0,Sin Consuelo - Remasterizado,0,0.219,74.513,3
117,0.726,1924,0.985,"['Paul Whiteman & His Orchestra', 'Bix Beiderbecke']",0.778,170173,0.179,0,0.755,5,0.0889,-13.443,1,My Pet,1,0.0502,96.408,4
118,0.296,1924,0.772,['Sara Gee & Ramblin Matt'],0.59,283389,0.138,0,0.000221,7,0.12,-15.065,1,Wild Women Don't Have the Blues,0,0.0628,81.219,4
119,0.893,1924,0.996,['Francisco Canaro'],0.588,162827,0.316,0,0.966,2,0.228,-14.435,1,Oh París - Remasterizado,0,0.0668,172.762,4
120,0.588,1924,0.996,['Francisco Canaro'],0.634,164533,0.438,0,0.956,5,0.273,-13.906,1,El Flechazo - Remasterizado,0,0.253,127.552,4
121,0.515,1924,0.992,['Bayan Sultan'],0.382,166699,0.222,0,0.902,2,0.12,-14.032,1,Gemi Kalkar Sular Aka,0,0.0712,80.039,4
122,0.752,1924,0.996,['Francisco Canaro'],0.369,164320,0.506,0,0.942,7,0.37,-14.262,1,Pato Alegre - Remasterizado,0,0.182,120.913,4
123,0.949,1924,0.996,['Francisco Canaro'],0.628,172333,0.403,0,0.898,2,0.693,-13.157,1,Pero Hay Una Melena - Remasterizado,0,0.0352,77.773,4
124,0.856,1924,0.89,"['Paul Whiteman & His Orchestra', 'Bix Beiderbecke']",0.727,170307,0.411,0,0.105,5,0.249,-10.799,0,When,1,0.0622,111.371,4
125,0.745,1924,0.821,['Lionel Hampton Orchestra'],0.589,500787,0.895,0,0.675,10,0.593,-4.295,1,I Got Rhythm,0,0.103,141.475,4
126,0.623,1924,0.996,['Francisco Canaro'],0.585,152387,0.306,0,0.954,4,0.286,-12.408,1,Puentecito - Remasterizado,0,0.0774,116.973,4
127,0.693,1924,0.995,['Francisco Canaro'],0.374,148173,0.458,0,0.911,8,0.422,-12.673,0,La Madrecita - Remasterizado,0,0.0369,134.416,4
128,0.541,1924,0.996,['Francisco Canaro'],0.494,176747,0.232,0,0.927,9,0.174,-18.142,0,Juventud - Remasterizado,0,0.175,65.9,4
129,0.7,1924,0.996,['Francisco Canaro'],0.653,171600,0.251,0,0.96,2,0.114,-14.249,1,Mameluke - Remasterizado,0,0.0681,116.703,4
130,0.451,1924,0.000847,['Lionel Hampton Orchestra'],0.339,326093,0.623,0,0.0125,7,0.354,-13.184,1,How High the Moon,0,0.0481,80.847,4
131,0.647,1924,0.996,['Francisco Canaro'],0.3,188400,0.369,0,0.948,3,0.324,-13.854,1,El Borracho - Remasterizado,0,0.0598,71.88,4
132,0.923,1924,0.988,['George Olsen'],0.438,180533,0.338,0,0.925,3,0.151,-12.718,1,Save Your Sorrow For Tomorrow,0,0.0479,209.855,4
133,0.322,1924,0.996,['Francisco Canaro'],0.487,191147,0.0849,0,0.818,8,0.121,-17.366,1,Padre Nuestro - Remasterizado,0,0.0969,132.86,3
134,0.475,1924,0.996,['Francisco Canaro'],0.393,186600,0.388,0,0.967,8,0.428,-11.936,0,Arrepentida - Remasterizado,0,0.176,213.448,4
135,0.601,1924,0.996,['Francisco Canaro'],0.467,165213,0.36,0,0.897,2,0.29,-13.877,0,La Garconiere - Remasterizado,0,0.0516,119.334,4
136,0.507,1924,0.995,['Francisco Canaro'],0.397,188347,0.334,0,0.978,4,0.215,-16.767,1,Arabian Smiles - Remasterizado,0,0.0706,136.523,1
137,0.7,1924,0.995,['Francisco Canaro'],0.53,170067,0.297,0,0.912,10,0.13,-18.45,1,Pobre Madrecita - Remasterizado,0,0.136,128.019,4
138,0.757,1924,0.995,['George Olsen'],0.585,179240,0.362,0,0.769,0,0.341,-14.386,1,Nobody Knows What a Red-Head Mama Can Do,0,0.0934,183.728,4
139,0.579,1924,0.994,['Ignacio Corsini'],0.443,186240,0.0558,0,0.929,3,0.313,-22.32,1,Mi Rosal Ha Florecido - Remasterizado,0,0.119,74.416,4
140,0.603,1924,0.996,['Francisco Canaro'],0.738,175893,0.285,0,0.838,8,0.186,-11.513,1,Porque - Remasterizado,0,0.0537,112.954,4
141,0.327,1924,0.996,['Francisco Canaro'],0.424,204053,0.309,0,0.946,5,0.175,-16.927,1,Sobin Blue - Remasterizado,0,0.0591,127.24,4
142,0.634,1924,0.995,['Ignacio Corsini'],0.494,159200,0.111,0,0.684,5,0.176,-23.239,1,El Beso de la Muerte - Remasterizado,0,0.0653,127.714,4
143,0.575,1924,0.996,['Francisco Canaro'],0.209,168373,0.52,0,0.987,10,0.501,-15.655,1,Sueño Indio - Remasterizado,0,0.0739,173.264,4
144,0.453,1924,0.00262,['Lionel Hampton Orchestra'],0.478,449480,0.601,0,0.0125,7,0.413,-15.063,1,Mr. John,0,0.0434,140.472,4
145,0.902,1924,0.996,['Francisco Canaro'],0.315,148120,0.278,0,0.975,10,0.423,-14.458,1,Melodía de Amor - Remasterizado,0,0.0607,202.084,4
146,0.715,1924,0.995,['Bijoylal Mukherjee'],0.301,177348,0.312,0,0.916,4,0.422,-14.995,1,Nebe Aye Shyama Nebe Aye,0,0.0527,68.673,4
147,0.726,1924,0.996,['Francisco Canaro'],0.386,169253,0.518,0,0.882,0,0.31,-10.86,1,Asi me Dejas - Remasterizado,0,0.0446,117.085,4
148,0.745,1924,0.995,['George Olsen'],0.434,182773,0.322,0,0.883,10,0.128,-15.618,1,Biminy,0,0.0497,203.564,4
149,0.436,1924,0.0126,['Lionel Hampton Orchestra'],0.387,644027,0.715,0,0.623,7,0.227,-13.2,1,Flying Home,0,0.118,129.754,4
150,0.44,1924,0.996,['Francisco Canaro'],0.456,172493,0.325,0,0.95,4,0.327,-15.917,0,Muchachita Loca - Remasterizado,0,0.129,127.493,4
151,0.675,1924,0.763,"['The Chenille Sisters', ""James Dapogny's Chicago Jazz Band""]",0.654,206693,0.326,0,0.0,0,0.0366,-11.12,1,Bob White,0,0.0706,79.84,4
152,0.443,1924,0.995,['Francisco Canaro'],0.456,189547,0.116,0,0.954,8,0.146,-17.128,1,Yo Tuve un Cariño - Remasterizado,0,0.1,132.705,3
153,0.736,1924,0.996,['Francisco Canaro'],0.746,140547,0.231,0,0.956,2,0.145,-15.838,1,China de Mi Amor - Remasterizado,0,0.0842,115.355,3
154,0.385,1924,0.996,['Francisco Canaro'],0.731,181173,0.233,0,0.967,1,0.146,-15.861,0,Il Picolo Navio - Remasterizado,0,0.264,124.516,4
155,0.495,1924,0.954,['Lionel Hampton Orchestra'],0.547,362587,0.568,0,0.356,1,0.199,-10.012,1,Stompin' at the Savoy - Mix Two,0,0.0301,135.524,4
156,0.412,1924,0.996,['Francisco Canaro'],0.457,136320,0.287,0,0.917,7,0.162,-12.439,1,Un Metejón - Remasterizado,0,0.193,95.47,4
157,0.775,1924,0.991,['George Olsen'],0.71,171747,0.311,0,0.923,3,0.201,-13.292,1,Follow the Swallow,0,0.0374,106.585,4
158,0.493,1924,0.992,['Ignacio Corsini'],0.329,170253,0.17,0,0.401,10,0.148,-27.037,0,El Pato Alegre - Remasterizado,0,0.0627,64.447,4
159,0.8,1924,0.995,['Francisco Canaro'],0.499,178733,0.49,0,0.934,11,0.147,-16.745,1,El Rocío - Remasterizado,0,0.123,122.224,4
160,0.883,1924,0.996,['George Olsen'],0.753,201253,0.316,0,0.861,4,0.092,-13.68,0,Those Panama Mamas - Are Ruining me,0,0.047,105.504,4
161,0.965,1924,0.996,['George Olsen'],0.677,171413,0.456,0,0.797,10,0.157,-15.781,1,Sax-o-phun,0,0.041,104.675,4
162,0.44,1924,0.996,['Francisco Canaro'],0.574,156587,0.524,0,0.947,7,0.13,-10.125,1,La Maldita - Remasterizado,0,0.105,127.607,4
163,0.795,1924,0.996,['Francisco Canaro'],0.262,169307,0.515,0,0.966,3,0.303,-12.606,0,Entre Rejas - Remasterizado,0,0.0685,74.955,3
164,0.605,1924,0.995,['Bijoylal Mukherjee'],0.346,173375,0.339,0,1.6e-05,0,0.588,-14.342,1,Omon Kore Ma Tor Haasi,0,0.039,92.245,4
165,0.622,1924,0.996,['Francisco Canaro'],0.535,128667,0.279,0,0.949,6,0.357,-16.063,1,Madame Pompadour - Remasterizado,0,0.0844,149.034,4
